28,14
28,88
2,6
6,2
6,47
47,49
49,115
115,49
18,0
18,26
119,26
15,67
67,87
87,67
15,16
16,15
16,23
23,77
77,23
67,86
86,67
86,115
115,117
117,115
12,56
56,88
88,110
110,88
110,116
34,14
38,34
74,38
74,97
110,97
28,34
34,28
54,34
57,54
117,57
3,13
13,18
18,13
18,26
26,18
26,37
37,26
23,34
34,39
49,39
49,56
56,57
57,56
57,70
70,116
15,18
18,15
18,29
29,32
32,29
32,60
60,67
91,67
91,102
102,110
8,21
21,8
38,21
56,38
11,15
15,11
15,37
37,60
60,37
15,34
34,15
41,34
41,86
86,41
30,38
38,30
38,60
60,102
102,60
102,117
14,15
15,85
85,15
85,99
99,85
18,24
24,18
24,39
39,24
91,39
102,91
101,72
112,101
3,5
5,48
13,14
14,110
110,14
30,31
56,31
56,108
18,14
18,111
111,18
115,111
18,20
20,18
57,20
62,57
62,97
1,2
2,1
2,24
24,2
24,32
49,32
78,49
4,1
4,6
6,4
11,6
13,11
13,21
21,13
28,21
28,48
48,28
48,61
64,61
64,81
81,64
81,102
102,81
111,102
1,4
4,1
4,42
42,4
49,42
49,60
60,49
60,91
91,119
119,91
19,30
30,39
39,46
46,54
44,14
117,44
20,5
20,99
99,20
99,113
113,99
117,113
30,6
30,56
56,60
78,60
78,90
90,105
105,90
105,112
116,112
118,116
6,16
16,6
16,67
30,0
30,70
70,81
108,81
110,108
110,116
116,110
6,19
19,6
23,19
30,23
30,52
52,30
52,60
60,108
108,113
113,108
72,42
78,72
81,78
81,94
94,99
99,94
99,101
5,18
18,5
29,18
29,67
67,29
67,117
117,67
20,1
20,63
63,20
63,89
89,63
14,1
18,14
20,18
21,20
21,30
30,21
30,47
47,70
70,47
41,56
56,41
56,111
111,56
30,32
32,35
35,63
99,63
56,18
56,107
107,116
116,107
116,117
39,6
47,39
48,47
48,60
60,48
60,86
86,60
34,100
46,56
56,46
70,56
72,70
94,72
94,100
100,94
14,77
86,77
110,86
111,110
1,10
34,10
34,56
56,34
56,70
83,70
83,102
102,83
102,103
103,102
18,16
18,28
30,28
34,30
34,37
37,34
111,37
43,86
86,43
86,108
108,110
110,108
63,28
63,67
67,63
100,67
19,20
20,60
60,20
81,60
94,81
94,111
111,94
3,6
6,3
18,6
19,18
26,19
51,67
67,51
67,85
85,91
101,91
4,13
13,68
94,68
110,94
1,57
57,67
67,77
77,67
4,6
6,4
6,8
8,6
8,26
26,91
91,98
98,91
98,113
113,98
113,118
118,113
14,29
29,14
34,29
67,34
67,68
42,21
42,46
46,42
46,102
2,16
16,34
34,16
25,24
25,29
29,25
29,41
41,81
81,41
118,81
75,11
75,83
83,75
87,83
87,91
91,97
97,91
97,110
110,97
30,16
30,43
43,44
44,43
44,67
67,44
67,71
71,91
110,91
5,12
41,12
41,49
49,41
1,21
21,1
21,56
56,21
56,77
41,60
60,84
84,60
84,117
117,84
18,14
18,26
26,18
26,76
76,26
76,86
86,76
39,67
91,67
12,6
15,12
15,18
18,15
18,117
89,14
89,111
111,89
111,112
112,111
44,48
48,44
48,57
99,57
3,85
85,3
91,85
19,48
48,19
48,54
49,31
49,56
56,49
56,72
72,56
48,46
48,85
87,85
87,91
91,119
119,91
4,19
19,28
28,19
28,49
16,28
30,28
30,38
38,30
44,38
14,1
14,29
101,29
101,117
117,101
1,30
30,1
30,89
89,30
89,99
1,2
2,12
12,15
15,12
15,24
24,15
24,37
54,37
102,54
50,0
67,50
67,81
81,101
101,81
101,102
5,11
11,5
11,67
67,72
78,72
78,103
103,78
103,110
34,74
74,90
90,74
90,100
100,90
30,14
56,30
67,56
67,75
75,67
91,75
91,111
12,2
12,15
15,12
26,15
30,26
30,39
39,30
39,44
61,44
66,61
66,85
85,110
1,35
41,35
47,41
47,74
74,47
106,74
29,47
48,47
49,48
49,70
70,85
85,70
111,85
34,3
34,67
67,34
67,79
79,116
30,19
42,30
42,67
67,42
67,117
16,60
72,60
72,94
18,16
29,18
29,31
77,31
78,77
78,108
108,78
111,108
115,111
115,117
14,0
19,14
32,19
32,44
56,14
56,70
70,56
117,70
4,34
34,4
39,34
115,39
14,102
6,18
18,75
75,18
86,75
86,116
31,1
31,50
50,31
50,56
56,50
61,56
72,61
77,72
113,77
116,113
14,23
28,23
28,33
33,28
33,51
51,33
51,60
60,51
74,60
74,86
86,91
12,86
86,12
87,86
87,101
101,87
103,101
81,5
87,81
87,113
83,5
83,108
111,108
111,116
116,111
14,34
34,14
37,34
37,56
56,61
61,56
61,63
63,61
63,84
86,84
113,86
57,20
57,108
108,57
0,5
5,0
5,26
26,5
98,26
98,116
0,14
14,0
14,15
15,14
15,18
18,30
30,18
30,31
31,42
42,31
49,42
49,57
57,49
60,57
60,91
91,60
91,116
116,91
37,15
42,37
42,74
30,60
60,99
99,60
101,99
101,110
110,101
13,59
59,13
59,111
3,2
3,12
12,18
18,44
44,18
44,56
56,111
99,29
99,118
68,14
68,94
94,68
94,103
2,19
19,2
42,19
42,56
56,42
67,56
67,77
77,67
12,32
86,32
34,48
48,34
48,67
72,67
72,103
108,103
118,108
119,115
33,19
33,46
108,46
117,108
14,44
44,14
98,44
110,98
43,2
78,43
1,20
67,20
67,72
19,14
19,31
31,41
41,31
41,60
60,41
60,76
76,60
110,76
16,32
32,16
32,49
49,32
70,49
0,6
6,0
18,6
18,22
22,18
22,111
111,22
56,14
56,60
60,56
67,60
70,67
13,12
13,14
14,13
14,19
19,14
19,23
28,23
28,30
30,33
85,33
85,94
94,99
99,100
100,110
110,100
110,116
117,116
1,15
15,1
18,15
18,91
91,108
108,91
116,108
4,12
12,4
12,14
14,44
44,14
44,91
91,44
2,15
15,2
16,15
16,19
19,16
19,28
28,41
41,49
49,50
87,50
87,108
14,26
26,29
29,26
60,29
60,111
111,60
66,73
73,102
102,73
117,102
1,6
6,42
42,6
42,53
53,42
53,56
56,60
60,56
60,75
75,60
75,83
83,75
99,83
15,18
18,15
30,18
30,34
34,30
34,56
70,56
70,75
75,83
86,83
86,91
91,100
113,100
18,20
60,20
60,67
67,60
67,93
93,67
115,93
10,18
18,32
32,50
50,32
86,50
91,86
26,4
26,56
56,26
102,56
16,19
19,30
30,34
34,86
99,86
26,30
30,72
72,30
86,72
113,86
19,4
19,34
34,19
34,38
38,44
44,77
21,110
110,21
30,32
32,43
43,32
43,54
54,62
62,54
66,62
66,72
14,28
108,28
1,15
15,1
15,30
34,30
34,56
56,101
101,111
111,115
115,111
34,5
0,4
4,0
4,14
14,4
14,19
19,14
19,30
30,43
43,30
29,34
34,35
35,46
46,35
48,46
87,48
87,100
100,111
111,100
14,8
67,14
101,67
12,19
19,12
28,19
28,31
75,31
85,75
16,19
19,16
19,37
38,37
38,60
37,43
47,43
47,67
78,67
78,87
87,78
87,94
94,102
102,113
113,102
2,56
56,2
56,86
86,56
86,101
101,86
4,16
16,4
32,16
32,60
60,32
43,37
43,47
47,43
47,67
67,78
78,67
87,78
87,94
94,102
102,113
32,26
32,39
56,39
56,112
112,56
14,60
60,14
66,60
69,66
69,118
118,69
10,19
19,43
43,114
4,1
4,14
14,4
14,19
36,19
36,63
63,88
88,63
88,101
101,88
101,111
18,85
85,18
85,117
0,11
11,0
11,34
34,11
48,34
48,91
40,63
63,40
63,86
86,63
86,116
3,31
31,57
57,31
57,63
11,67
67,11
67,91
91,67
3,12
12,3
12,16
16,18
18,16
18,78
78,18
78,89
34,54
54,34
98,54
98,115
11,30
30,42
42,30
42,46
46,42
46,117
117,46
60,49
60,72
72,60
72,86
103,86
103,114
114,103
5,30
70,30
70,103
103,111
1,6
66,6
66,81
11,14
14,42
42,14
79,42
89,79
14,8
14,26
26,14
26,60
60,26
60,70
70,102
102,70
102,110
110,102
4,5
5,4
16,5
16,29
29,60
60,29
60,67
67,91
91,110
110,91
110,111
111,110
18,60
60,18
60,72
93,72
93,99
99,93
112,99
57,89
116,89
116,117
34,1
34,115
115,34
57,2
60,57
93,60
33,5
33,100
115,100
0,4
4,24
24,4
24,32
108,32
30,14
30,54
54,30
54,56
56,77
16,30
30,46
46,30
46,72
72,46
72,109
5,34
108,34
14,20
20,14
20,26
26,20
26,66
66,26
66,101
115,101
115,118
2,33
33,2
85,33
10,54
54,10
54,98
98,108
108,56
108,116
116,108
116,117
76,6
86,76
19,31
31,19
39,31
39,42
42,39
42,93
93,111
6,30
30,6
38,30
38,43
43,38
86,43
86,97
97,86
97,98
98,101
101,110
110,117
32,56
56,75
75,56
75,102
102,115
115,119
119,115
34,1
34,38
38,34
44,38
44,70
70,44
70,72
72,70
84,72
91,84
91,111
21,42
46,42
102,46
0,3
3,108
108,117
117,108
5,48
48,5
67,48
67,108
46,18
46,91
91,116
6,15
15,6
42,15
50,42
67,50
116,67
6,1
6,35
46,35
56,46
91,56
113,91
113,116
116,113
0,16
16,0
16,33
33,16
33,50
113,50
24,34
34,24
51,34
51,115
6,44
44,6
44,63
63,44
63,86
108,86
108,117
117,108
4,14
31,14
31,60
60,31
69,60
69,101
111,101
44,20
44,49
49,56
56,49
56,94
94,56
94,99
6,4
6,11
11,6
67,11
85,67
86,85
86,89
110,89
39,56
56,39
56,113
113,56
35,72
72,35
91,72
91,111
111,91
14,1
14,18
18,102
102,18
110,102
3,19
19,54
54,19
54,119
119,54
34,14
34,93
93,34
93,99
99,93
99,108
108,99
108,117
117,108
1,30
30,1
30,34
34,30
44,34
44,67
67,69
69,99
99,116
6,3
6,21
21,6
21,39
39,21
39,48
48,39
48,78
78,100
100,78
14,21
32,21
32,56
56,32
78,56
0,2
2,15
15,2
15,24
24,86
86,24
86,94
94,101
101,108
1,33
33,1
33,34
34,33
49,34
49,98
98,49
98,99
99,98
100,99
117,100
18,5
18,21
21,18
26,21
26,102
102,112
1,12
12,1
12,26
26,12
26,34
38,34
86,38
57,84
84,111
111,84
18,12
35,18
35,79
79,35
79,91
24,14
24,26
28,26
28,36
36,28
36,86
86,36
86,110
110,86
32,70
70,32
94,70
94,97
97,115
18,48
48,81
81,48
19,42
42,63
7,15
15,7
15,28
28,15
28,48
48,28
48,76
76,48
76,100
100,110
110,100
14,18
18,22
22,18
32,22
32,68
68,93
93,68
18,67
67,18
67,86
86,110
26,6
67,26
16,32
32,34
86,34
5,11
11,5
11,60
60,91
91,60
91,99
6,0
26,6
26,28
28,26
28,47
47,86
86,47
100,86
78,70
102,78
102,110
4,56
100,56
100,111
111,100
14,1
14,18
18,14
56,18
60,56
77,60
99,77
111,99
111,115
115,111
15,18
18,30
30,18
60,30
60,98
108,98
108,116
1,32
32,73
73,77
77,73
77,78
78,77
78,87
87,78
87,110
